3,-600.59
25033532,47.81,-604.50
25034231,43.33,-604.50
25034927,39.11,-604.50
25035625,34.89,-604.50
25036310,31.46,-604.50
25037002,28.04,-604.50
25037695,24.87,-604.50
25038395,21.71,-604.50
25039092,18.72,-604.50
25039789,16.17,-604.50
25040475,14.15,-604.50
25041171,11.60,-604.50
25041862,9.32,-604.50
25042553,7.29,-604.50
25043245,5.71,-604.50
25043933,3.69,-604.50
25044632,1.93,-604.50
25045310,0.53,-604.50
25045995,358.77,-604.50
25046687,356.92,-604.50
25047388,355.25,-604.50
25048087,353.50,-604.50
25048779,352.00,-604.50
25049463,350.07,-604.50
25050156,348.31,-604.50
25050848,346.73,-605.24
25051539,345.15,-605.24
25052234,343.30,-605.24
25052926,341.63,-605.24
25058015,329.15,-605.24
25058703,327.66,-605.24
25059402,325.81,-605.24
25060101,323.88,-605.24
25060794,321.94,-605.24
25061475,320.19,-605.24
25062171,318.52,-605.24
25062864,316.41,-605.24
25063556,314.38,-605.24
25064254,312.45,-605.24
25064940,310.69,-605.24
25065641,308.41,-605.24
25066340,306.30,-605.24
25067042,304.19,-605.24
25067734,301.90,-605.24
25068421,299.79,-605.24
25069113,297.51,-605.24
25069801,295.31,-605.24
25070490,292.85,-605.24
25071180,290.65,-605.24
25071873,288.19,-605.24
25072567,285.73,-605.24
25073260,282.92,-605.24
25073944,280.11,-605.24
25074639,277.91,-605.24
25075339,275.19,-605.24
25076037,272.20,-605.24
25076725,269.12,-605.24
25077419,266.84,-605.24
25078119,264.02,-605.24
25078802,260.95,-605.24
25079491,257.96,-605.24
25080181,255.50,-605.24
25080868,252.69,-605.24
25081565,249.52,-605.24
25082264,246.45,-605.24
25082962,243.63,-605.24
25083662,240.64,-605.24
25084350,237.92,-605.24
25085053,234.84,-605.24
25085740,232.03,-605.24
25086429,229.04,-605.24
25087128,226.32,-605.24
25087814,223.42,-605.24
25088510,220.61,-605.24
25089203,217.71,-605.24
25089902,214.63,-605.24
25090599,212.26,-605.24
25091292,209.62,-605.24
25091979,206.89,-605.24
25092676,203.99,-605.24
25093368,201.45,-605.24
25094068,199.25,-605.24
25094765,196.52,-605.24
25095451,193.80,-605.24
25096158,191.43,-605.24
25096856,189.05,-605.24
25097549,186.94,-605.24
25098247,184.39,-605.24
25098933,182.11,-605.24
25099627,179.91,-605.24
25100326,177.63,-605.24
25101025,175.78,-605.24
25101719,173.67,-605.24
25102415,171.65,-605.24
25103114,169.54,-605.24
25103800,167.78,-605.24
25104481,165.94,-605.24
25105174,164.09,-605.24
25105867,162.16,-605.24
25106561,160.58,-605.24
25107247,158.91,-605.24
25107935,157.24,-605.24
25108636,155.48,-605.24
25109324,153.90,-605.24
25110031,152.58,-605.24
25110730,151.08,-605.24
25111427,149.41,-605.24
25112126,147.92,-605.24
25112813,146.43,-605.24
25113509,144.93,-605.24
