Scanning I2C...
Device found at 0x36
Device found at 0x3C
AS5600 Ready.
timestamp_us,angle_deg,rpm
2600486,215.68,618.95
2601171,220.69,618.95
2601857,227.55,618.95
2602549,237.39,618.95
2603235,250.14,618.95
2603922,270.79,618.95
2604608,293.91,618.95
2605295,314.56,618.95
2605981,328.27,618.95
2606674,339.61,618.95
2607365,346.64,618.95
2608058,350.86,618.95
2608743,353.41,618.95
2609423,355.52,618.95
2610111,356.92,618.95
2610790,357.89,618.95
2611477,358.77,618.95
2612165,359.47,618.95
2612852,359.91,618.95
2613541,0.26,618.95
2614219,0.79,618.95
2614914,1.32,618.95
2615604,1.67,618.95
2616289,2.02,618.95
2616979,2.55,618.95
2617664,3.25,618.95
2618344,3.96,618.95
2619034,4.57,618.95
2619713,5.36,618.95
2620402,6.68,618.95
2621088,7.91,618.95
2621776,9.14,618.95
2622462,10.63,618.95
2623152,12.92,618.95
2623837,14.77,618.95
2624523,16.44,618.95
2625203,19.51,618.95
2625889,23.12,618.95
2626575,26.02,618.95
2627254,28.39,618.95
2627934,32.26,618.95
2628619,34.72,618.95
2629306,36.56,618.95
2629985,38.85,618.95
2630672,41.75,618.95
2631352,43.59,618.95
2632047,44.47,618.95
2632733,45.53,618.95
2633418,46.85,618.95
2634110,48.34,618.95
2634795,48.96,618.95
2635481,49.66,618.95
2636160,50.19,618.95
2636846,50.63,618.95
2637537,51.15,618.95
2638216,52.03,618.95
2638902,52.29,618.95
2639588,52.65,618.95
2640269,52.82,618.95
2640955,55.28,618.95
2641646,57.04,618.95
2642327,56.51,618.95
2643024,57.57,618.95
2643709,57.57,618.95
2644401,58.01,618.95
2645097,58.62,618.95
2645789,60.03,618.95
2646473,61.00,618.95
2647163,61.08,618.95
2647842,64.42,618.95
2648537,66.27,618.95
2649216,68.38,618.95
2649904,69.52,618.95
2650584,70.93,618.95
2651266,72.07,618.95
2651954,74.62,618.95
2652639,77.61,618.95
2653331,81.04,618.95
2654028,84.46,618.95
2654713,88.42,618.95
2655404,93.87,618.95
2656096,98.09,618.95
2656785,101.95,618.95
2657472,106.61,618.95
2658167,112.68,618.95
2658853,119.97,618.95
2659545,128.41,618.95
2660225,131.84,618.95
2660915,136.67,619.27
2661605,142.82,619.27
2662286,147.83,619.27
2662972,151.61,619.27
2663669,155.04,619.27
2664349,158.47,619.27
2665048,161.81,619.27
2665732,164.79,619.27
2666425,167.26,619.27
2667117,169.45,619.27
2667798,171.04,619.27
2668483,172.79,619.27
2669165,174.29,619.27
2669846,175.43,619.27
2670542,176.48,619.27
2671221,177.45,619.27
2671910,178.42,619.27
2672596,179.74,619.27
2673283,180.62,619.27
2673975,181.32,619.27
2674673,182.02,619.27
2675364,182.64,619.27
2676056,183.08,619.27
2676741,183.52,619.27
2677421,184.04,619.27
2678107,184.48,619.27
2678794,184.75,619.27
2679475,185.10,619.27
2680164,185.54,619.27
2680846,185.89,619.27
2681539,186.15,619.27
2682218,186.50,619.27
2682912,186.77,619.27
2683603,187.12,619.27
2684285,187.47,619.27
2684972,187.82,619.27
2685673,188.26,619.27
2686365,188.70,619.27
2687057,189.14,619.27
2687743,189.76,619.27
2688424,190.55,619.27
2689115,191.34,619.27
2689796,192.04,619.27
2690481,193.10,619.27
2691167,194.15,619.27
2691854,195.47,619.27
2692537,196.96,619.27
2693217,198.63,619.27
2693904,200.21,619.27
2694597,202.32,619.27
2695284,204.87,619.27
2695976,207.69,619.27
2696673,210.41,619.27
2697365,214.63,619.27
2698052,220.25,619.27
2698732,226.14,619.27
2699418,235.37,619.27
2700121,249.61,619.27
