ESP-ROM:esp32c3-api1-20210207
.03,0.00
12069782,173.23,0.00
12070459,173.50,0.00
12071146,173.58,0.00
12071837,173.76,0.00
12072508,173.85,0.00
12073187,173.85,0.00
12073870,173.76,0.00
12074548,173.50,0.00
12075236,173.06,0.00
12075925,172.71,0.00
12076606,172.35,0.00
12077284,172.00,0.00
12077967,171.56,0.00
12078650,171.12,0.00
12079341,170.60,0.00
12080021,169.98,0.00
12080707,169.19,0.00
12081384,168.49,0.00
12082068,167.78,0.00
12082749,167.08,0.00
12083432,166.29,0.00
12084127,165.32,0.00
12084814,164.36,0.00
12085491,163.74,0.00
12086169,162.86,0.00
12086853,161.81,0.00
12087540,160.66,0.00
12088224,159.96,0.00
12088907,159.08,0.00
12089591,157.76,0.00
12090268,156.62,0.00
12090946,155.48,0.00
12091630,153.54,0.00
12092314,152.40,0.00
12093002,151.61,0.00
12093685,150.21,0.00
12094370,148.62,0.00
12095059,146.95,0.00
12095737,145.63,0.00
12096421,144.93,0.00
12097115,144.58,0.00
12097793,143.61,0.00
12098476,141.94,0.00
12099161,141.06,0.00
12099844,140.19,0.00
12100528,137.90,0.00
12101211,136.14,0.00
12101888,135.53,0.00
12102565,133.95,0.00
12103255,133.15,0.00
12103936,131.84,0.00
12104629,130.17,0.00
12105306,129.11,0.00
12105990,128.85,0.00
12106668,128.76,0.00
12107358,127.62,0.00
12108048,125.07,0.00
12108726,124.01,0.00
12109414,124.01,0.00
12110109,123.31,0.00
12110795,122.52,0.00
12111481,120.32,0.00
12112165,119.79,0.00
12112849,118.21,0.00
12113532,116.89,0.00
12114221,115.49,0.00
12114893,114.26,0.00
12115577,113.99,0.00
12116257,113.91,0.00
12116935,112.68,0.00
12117618,111.18,0.00
12118296,110.48,0.00
12118985,109.42,0.00
12119669,107.93,0.00
12120354,106.44,0.00
12121031,105.64,0.00
12121712,105.56,0.00
12122390,105.03,0.00
12123084,103.71,0.00
12123769,101.78,0.00
12124450,100.72,0.00
12125137,99.76,0.00
12125819,98.70,0.00
12126495,97.73,0.00
12127178,96.68,0.00
12127861,95.98,0.00
12128543,95.45,0.00
12129231,95.19,0.00
12129914,94.75,0.00
12130602,94.22,0.00
12131285,94.31,0.00
12131966,94.75,0.00
12132658,95.10,0.00
12133346,94.92,0.00
12134029,95.10,0.00
12134708,95.62,0.00
12135390,96.33,0.00
12136079,97.91,0.00
12136751,99.05,0.00
12137436,100.37,0.00
12138135,102.04,0.00
12138818,104.15,0.00
12139505,106.52,0.00
12140188,108.81,0.00
12140871,111.88,0.00
12141555,115.05,0.00
12142243,118.04,0.00
12142931,121.82,0.00
12143612,125.60,0.00
12144289,128.94,0.00
12144979,132.54,0.00
12145656,136.32,0.00
12146341,139.48,0.00
12147028,142.56,0.00
12147710,145.37,0.00
12148388,148.18,0.00
12149072,151.26,0.00
12149754,153.37,0.00
12150441,155.04,0.00
12151139,157.06,0.00
12151822,158.73,0.00
12152500,159.79,0.00
12153183,160.93,0.00
12153866,161.98,0.00
12154554,162.95,0.00
12155237,163.65,0.00
12155929,164.27,0.00
12156611,164.88,0.00
12157289,165.41,0.00
12157973,165.94,0.00
12158652,166.46,0.00
12159329,166.90,0.00
12160016,167.43,0.00
12160687,167.87,0.00
12161373,168.31,0.00
12162057,168.93,0.00
12162739,169.45,0.00
12163428,169.89,0.00
12164118,170.42,0.00
12164801,170.95,0.00
12165484,171.30,0.00
12166168,171.74,0.00
12166856,172.18,0.00
12167528,172.53,0.00
12168213,172.88,0.00
12168890,173.23,0.00
12169574,173.41,0.00
12170249,173.67,0.00
12170927,173.76,0.00
12171613,173.85,0.00
12172297,173.76,0.00
12172986,173.58,0.00
12173667,173.41,0.00
12174352,173.23,0.00
12175048,172.88,0.00
12175724,172.53,0.00
12176402,172.18,0.00
12177092,171.56,0.00
12177779,171.12,0.00
12178468,170.60,0.00
12179163,169.98,0.00
12179844,169.28,0.00
12180528,168.57,0.00
12181212,167.78,0.00
12181889,167.17,0.00
12182572,166.46,0.00
12183255,165.50,0.00
12183938,164.36,0.00
12184627,163.74,0.00
12185310,162.86,0.00
12185999,161.72,0.00
12186682,160.84,0.00
12187372,159.70,0.00
12188066,158.82,0.00
12188742,157.41,0.00
12189429,156.62,0.00
12190124,155.30,0.00
12190812,153.98,0.00
12191495,152.93,0.00
12192173,151.61,0.00
12192862,150.38,0.00
12193551,149.33,0.00
12194234,147.66,0.00
12194913,146.16,0.00
12195602,145.11,0.00
12196279,144.14,0.00
12196969,143.17,0.00
12197646,141.77,0.00
12198330,140.54,0.00
12199022,139.75,0.00
12199707,138.25,0.00
12200382,137.20,0.00
12201071,135.26,0.00
12201755,133.77,0.00
12202443,133.59,0.00
12203133,131.75,0.00
12203816,130.69,0.00
12204505,129.46,0.00
12205193,127.97,0.00
12205877,127.35,0.00
12206556,126.65,0.00
12207245,126.12,0.00
12207932,124.80,0.00
12208618,123.84,0.00
12209295,122.61,0.00
12209983,121.38,0.00
12210661,119.88,0.00
12211346,119.44,0.00
12212030,119.00,0.00
12212714,117.86,0.00
12213391,116.72,0.00
12214075,115.75,0.00
12214757,114.52,0.00
12215444,114.35,0.00
12216137,113.20,0.00
12216814,112.24,0.00
12217504,110.30,0.00
12218191,109.34,0.00
12218880,108.28,0.00
12219569,106.70,0.00
12220257,105.73,0.00
12220946,104.68,0.00
12221629,103.27,0.00
12222307,102.48,0.00
12223000,101.43,0.00
12223681,99.84,0.00
12224365,100.11,0.00
12225055,99.58,0.00
12225733,98.79,0.00
12226421,97.21,0.00
12227113,96.42,0.00
12227790,96.15,0.00
12228479,95.54,0.00
12229166,95.01,0.00
12229854,94.75,0.00
12230532,94.39,0.00
12231219,94.48,0.00
12231895,94.75,0.00
12232578,94.92,0.00
12233260,95.19,0.00
12233943,95.71,0.00
12234628,96.68,0.00
12235305,97.73,0.00
12235992,98.53,0.00
12236678,100.11,0.00
12237362,102.13,0.00
12238047,103.89,0.00
12238725,106.08,0.00
12239413,108.81,0.00
12240103,111.71,0.00
12240784,114.87,0.00
12241469,118.04,0.00
12242155,121.55,0.00
12242840,125.68,0.00
12243517,129.29,0.00
12244195,132.36,0.00
12244879,135.97,0.00
12245562,139.92,0.00
12246249,142.65,0.00
12246932,145.55,0.00
12247619,148.36,0.00
12248303,150.73,0.00
12248991,153.11,0.00
12249675,155.13,0.00
12250359,156.80,0.00
12251036,158.47,0.00
12251717,159.79,0.00
12252394,160.93,0.00
12253079,161.89,0.00
12253766,162.69,0.00
12254454,163.48,0.00
12255138,164.09,0.00
12255821,164.79,0.00
12256503,165.41,0.00
12257186,165.76,0.00
12257870,166.38,0.00
12258553,166.99,0.00
12259236,167.43,0.00
12259908,167.87,0.00
12260599,168.31,0.00
12261276,168.84,0.00
12261959,169.37,0.00
12262648,169.89,0.00
12263326,170.24,0.00
12264016,170.77,0.00
12264687,171.30,0.00
12265372,171.74,0.00
12266061,172.18,0.00
12266740,172.53,0.00
12267429,172.88,0.00
12268123,173.23,0.00
12268807,173.50,0.00
12269489,173.67,0.00
12270176,173.85,0.00
12270869,173.85,0.00
12271556,173.76,0.00
12272237,173.58,0.00
12272924,173.50,0.00
12273611,173.23,0.00
12274294,172.97,0.00
12274982,172.44,0.00
12275671,172.18,0.00
12276355,171.83,0.00
12277038,171.30,0.00
12277718,170.60,0.00
12278389,170.16,0.00
12279069,169.54,0.00
12279749,168.57,0.00
12280433,168.13,0.00
12281123,167.34,0.00
12281801,166.46,0.00
12282488,165.59,0.00
12283177,164.88,0.00
12283865,164.00,0.00
12284547,163.04,0.00
12285235,162.07,0.00
12285906,161.10,0.00
12286589,159.96,0.00
12287271,158.99,0.00
12287950,157.41,0.00
12288633,156.27,0.00
12289316,154.95,0.00
12290000,154.42,0.00
12290678,153.37,0.00
12291368,151.70,0.00
12292051,150.82,0.00
12292727,149.77,0.00
12293407,148.10,0.00
12294098,146.51,0.00
12294782,145.37,0.00
12295471,144.58,0.00
12296152,143.00,0.00
12296828,141.42,0.00
12297512,140.54,0.00
12298195,139.39,0.00
12298873,138.96,0.00
12299551,137.20,0.00
12300243,135.26,0.00
12300926,133.68,0.00
12301619,132.89,0.00
12302302,132.45,0.00
12302986,130.87,0.00
12303669,130.43,0.00
12304354,129.29,0.00
12305038,127.62,0.00
12305719,126.39,0.00
12306396,125.86,0.00
12307081,124.01,0.00
12307758,123.13,0.00
12308448,122.87,0.00
12309132,122.43,0.00
12309820,121.11,0.00
12310503,119.00,0.00
12311180,118.83,0.00
12311867,118.83,0.00
12312554,117.07,0.00
12313237,115.22,0.00
12313924,113.47,0.00
12314613,113.20,0.00
12315291,112.59,0.00
12315983,111.18,0.00
12316667,110.39,0.00
12317351,109.86,0.00
12318035,109.07,0.00
12318715,109.16,0.00
12319392,107.75,0.00
12320079,105.38,0.00
12320757,104.15,0.00
12321441,103.18,0.00
12322134,102.66,0.00
12322817,101.51,0.00
12323501,99.76,0.00
12324183,99.23,0.00
12324871,98.70,0.00
12325553,98.26,0.00
12326241,97.03,0.00
12326929,95.89,0.00
12327617,95.45,0.00
12328300,95.98,0.00
12328983,95.10,0.00
12329668,94.39,0.00
12330353,93.78,0.00
12331036,94.31,0.00
12331721,94.92,0.00
12332392,95.10,0.00
12333074,95.36,0.00
12333752,96.77,0.00
12334436,97.91,0.00
12335125,99.14,0.00
12335808,100.28,0.00
12336491,101.69,0.00
12337175,103.54,0.00
12337859,105.73,0.00
12338543,108.11,0.00
12339221,111.27,0.00
12339898,114.08,0.00
12340581,117.42,0.00
12341264,121.20,0.00
12341947,124.45,0.00
12342630,128.50,0.00
12343314,132.28,0.00
12343995,135.26,0.00
12344678,139.13,0.00
12345358,142.29,0.00
12346042,144.93,0.00
12346727,147.66,0.00
12347406,150.47,0.00
12348083,152.67,0.00
12348755,154.78,0.00
12349440,156.71,0.00
12350130,158.20,0.00
12350821,159.61,0.00
12351510,160.93,0.00
12352199,161.81,0.00
12352888,162.86,0.00
12353571,163.65,0.00
12354264,164.27,0.00
12354947,164.79,0.00
12355631,165.41,0.00
12356309,165.85,0.00
12356993,166.29,0.00
12357671,166.90,0.00
12358356,167.43,0.00
12359033,167.78,0.00
12359712,168.31,0.00
12360390,168.75,0.00
12361074,169.28,0.00
12361747,169.80,0.00
12362430,170.33,0.00
12363129,170.86,0.00
12363806,171.21,0.00
12364496,171.65,0.00
12365172,172.09,0.00
12365856,172.53,0.00
12366527,172.88,0.00
12367210,173.06,0.00
12367881,173.32,0.00
12368556,173.50,0.00
12369233,173.76,0.00
12369904,173.85,0.00
12370582,173.85,0.00
12371260,173.76,0.00
12371938,173.58,0.00
