Scanning I2C...
Device found at 0x36
Device found at 0x3C
AS5600 Ready.
timestamp_us,angle_deg,rpm
3102019,99.84,0.00
3102701,99.32,0.00
3103383,98.70,0.00
3104082,98.17,0.00
3104752,97.82,0.00
3105423,97.38,0.00
3106106,97.03,0.00
3106777,96.77,0.00
3107453,96.50,0.00
3108136,96.33,0.00
3108813,95.98,0.00
3109489,95.71,0.00
3110173,95.45,0.00
3110855,95.19,0.00
3111542,94.83,0.00
3112225,94.66,0.00
3112912,94.31,0.00
3113583,94.13,0.00
3114265,93.96,0.00
3114941,93.96,0.00
3115619,94.04,0.00
3116307,94.13,0.00
3116994,94.31,0.00
3117682,94.57,0.00
3118364,94.75,0.00
3119058,95.10,0.00
3119736,95.36,0.00
3120424,95.62,0.00
3121118,95.98,0.00
3121801,96.33,0.00
3122486,96.68,0.00
3123174,97.12,0.00
3123862,97.73,0.00
3124549,98.44,0.00
3125231,99.32,0.00
3125907,100.11,0.00
3126585,101.25,0.00
3127257,102.30,0.00
3127934,103.54,0.00
3128617,104.77,0.00
3129299,105.82,0.00
3129992,107.05,0.00
3130684,108.19,0.00
3131367,109.25,0.00
3132056,110.30,0.00
3132732,111.53,0.00
3133421,112.68,0.00
3134116,113.73,0.00
3134792,115.14,0.00
3135481,116.63,0.00
3136164,117.95,0.00
3136856,119.44,0.00
3137542,121.03,0.00
3138219,122.34,0.00
3138902,123.66,0.00
3139578,124.89,0.00
3140256,125.86,0.00
3140939,126.83,0.00
3141617,127.71,0.00
3142309,128.32,0.00
3142995,129.02,0.00
3143689,129.81,0.00
3144366,130.52,0.00
3145059,131.13,0.00
3145730,131.92,0.00
3146413,132.71,0.00
3147096,133.33,0.00
3147781,133.95,0.00
3148458,134.47,0.00
3149146,134.91,0.00
3149829,135.18,0.00
3150513,135.35,0.00
3151189,135.44,0.00
3151872,135.44,0.00
3152555,135.44,0.00
3153233,135.44,0.00
3153914,135.44,0.00
3154590,135.44,0.00
3155275,135.44,0.00
3155955,135.44,0.00
3156633,135.44,0.00
3157310,135.35,0.00
3157993,135.26,0.00
3158680,135.18,0.00
3159358,134.82,0.00
3160056,134.38,0.00
3160732,133.95,0.00
3161417,133.42,0.00
3162112,132.80,0.00
3162784,132.19,0.00
3163470,131.75,0.00
3164159,131.22,0.00
3164843,130.69,0.00
3165526,130.25,0.00
3166206,129.81,0.00
